ID,Suc_pra,Cen_jac,Achilea,Cirsium,Pim_sax,Ran_acr,Ran_fla,Ang_syl,Lat_pra,Plantago,Poaceae,Cre_bie,Her_sph,Lyc_eur,indet,Dau_car,Kna_arv,Lot_cor,Leo_his,Apiaceae,Tri_spp
24_11_8_Suc_B1_1,77,9,,1,,,,,,,,,,,,,,,,,
24_11_8_Suc_B1_2,44,25,9,3,,,,,,,,,,,2,,,,,,
24_11_8_Suc_B1_3,58,2,5,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B2_1,37,4,1,,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B2_2,25,9,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B2_3,31,6,,,,,,,,,,,,,4,,,,,,
24_11_8_Suc_B3_1,15,3,1,,,,,,,,,,,,8,,,,,,
24_11_8_Suc_B3_2,31,,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B3_3,33,1,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B4_1,12,5,1,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B4_2,22,11,7,,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B4_3,21,4,2,1,,,,,,,,,,,,,,,,,
24_11_8_Suc_B5_1,24,2,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B5_2,12,8,1,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B5_3,22,8,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B6_1,51,5,2,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B6_2,49,1,,,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B6_3,45,5,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B7_1,8,3,2,,,,,,,,,,,,2,,,,,,
24_11_8_Suc_B7_2,36,1,2,,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B7_3,66,19,,9,,,,,,,,,,,,,,,,,
24_11_8_Suc_B8_1,54,33,14,1,,,,,,,,,,,3,,,,,,
